Nome do Artista,Nome da Música,Letra,Gênero Musical

Michael Jackson,Beat It,"They told him, Don't you ever come around hereDon't wanna see your face, you better disappear The fire's in their eyes and their words are really clear So beat it, just beat it You better run, you better do what you can Don't wanna see no blood, don't be a macho man You wanna be tough, better do what you can So beat it, but you wanna be bad Just beat it (beat it), beat it (beat it) No one wants to be defeated Showin' how funky and strong is your fight It doesn't matter who's wrong or right Just beat it (beat it) Just beat it (beat it) Just beat it (beat it) Just beat it (beat it, uh) They're out to get you, better leave while you can Don't wanna be a boy, you wanna be a man You wanna stay alive, better do what you can So beat it, just beat it You have to show them that you're really not scared You're playin' with your life, this ain't no truth or dare They'll kick you, then they'll beat you Then they'll tell you it's fair So beat it, but you wanna be bad Just beat it (beat it), beat it (beat it) No one wants to be defeated Showin' how funky and strong is your fight It doesn't matter who's wrong or right Just beat it (beat it), beat it (beat it) No one wants to be defeated Showin' how funky and strong is your fight It doesn't matter who's wrong or right Just beat it (beat it, beat it, beat it) Beat it (beat it, beat it) Beat it (beat it, beat it) Beat it (beat it, beat it) Beat it (beat it, beat it) Beat it (beat it), beat it (beat it) No one wants to be defeated Showin' how funky and strong is your fight It doesn't matter who's wrong or right (who's right) Just beat it (beat it), beat it (beat it) No one wants to be defeated (no one) Showin' how funky and strong is your fight It doesn't matter who's wrong or right Just beat it (beat it), beat it (beat it) No one wants to be defeated (oh, no) Showin' how funky and strong is your fight It doesn't matter who's wrong or right Just beat it (beat it), beat it (beat it) No one wants to be defeated Showin' how funky and strong is your fight It doesn't matter who's wrong or right Just beat it (beat it), beat it (beat it)",Pop

The Beatles,Hey Jude,"Hey Jude, don't make it bad. Take a sad song and make it better. Remember to let her into your heart, Then you can start to make it better. Hey Jude, don't be afraid. You were made to go out and get her. The minute you let her under your skin, Then you begin to make it better. And anytime you feel the pain, hey Jude, refrain, Don't carry the world upon your shoulders. For well you know that it's a fool who plays it cool By making his world a little colder. Hey Jude, don't let me down. You have found her, now go and get her. Remember to let her into your heart, Then you can start to make it better. So let it out and let it in, hey Jude, begin, You're waiting for someone to perform with. And don't you know that it's just you, hey Jude, you'll do, The movement you need is on your shoulder. Hey Jude, don't make it bad. Take a sad song and make it better. Remember to let her under your skin, Then you'll begin to make it Better better better better better better, oh. Na na na nananana, nannana, hey Jude... (repeat X number of times, fade)",Rock

Kanye West,Good Morning,"Uh, good morning Wake up, Mr. West, Mr. West, Mr. Fresh Mr. by-his-self-he-so-impressed I mean, damn, did you even see the test You got D's motherfucker, D's, Rosie Perez And yes, barely pass any and every class Lookin' at every ass Cheated on every test I guess this is my dissertation Homie, this shit is basic Welcome to graduation Good morning Good morning Good morning Good morning Good morning On this day we become legendary Everything we dreamed of I'm like a fly Malcolm X Buy any jeans necessary Detroit wear cleaned up From the streets of the league From an eighth to a key But you graduate when you make it up outta the streets From the moments of pain Look how far we done came Haters sayin' ya changed Now ya doin' ya thang Good morning Good morning Good morning Good morning Good morning Look at the valedictorian scared of the future While I hop in the Delorean Scared-to-face-the-world complacent career student Some people graduate, but we still stupid They tell you read this, eat this, don't look around Just peep this, preach us, teach us, Jesus Okay, look up now, they done stole your streetness After all of that, you receive this Good morning Hustlers, that's if you're still livin' Get on down Every time that we hear them Good morning Hustlers, that's if you're still livin' Get on down Every time that we hear them Good morning Hustlers, that's if you're still livin' Get on down Every time that we hear them Good morning Hustlers, that's if you're still livin' Get on down Get on down Get, get on down Get on down Get, get on down",Rap

Eminem,Stan,"My tea's gone cold, I'm wondering why I got out of bed at all
The morning rain clouds up my window, and I can't see at all
And even if I could, it'd all be gray, but your picture on my wall
It reminds me that it's not so bad, it's not so bad
My tea's gone cold, I'm wondering why I got out of bed at all
The morning rain clouds up my window, and I can't see at all
And even if I could, it'd all be gray, but your picture on my wall
It reminds me that it's not so bad, it's not so bad
Dear Slim, I wrote you, but you still ain't callin
I left my cell, my pager, and my home phone at the bottom
I sent two letters back in autumn, you must not-a got 'em
There probably was a problem at the post office or somethin'
Sometimes, I scribble addresses too sloppy when I jot 'em
But anyways, fuck it, what's been up, man, how's your daughter?
My girlfriend's pregnant too, I'm 'bout to be a father
If I have a daughter, guess what I'ma call her?
I'ma name her Bonnie
I read about your uncle Ronnie too, I'm sorry
I had a friend kill himself over some bitch who didn't want him
I know you probably hear this everyday, but I'm your biggest fan
I even got the underground shit that you did with Scam
I got a room full of your posters and your pictures, man
I like the shit you did with Ruckus too, that shit was fat
Anyways, I hope you get this, man, hit me back, just to chat
Truly yours, your biggest fan, this is Stan
My tea's gone cold, I'm wondering why I got out of bed at all
The morning rain clouds up my window, and I can't see at all
And even if I could, it'd all be gray, but your picture on my wall
It reminds me that it's not so bad, it's not so bad
Dear Slim, you still ain't called or wrote
I hope you have the chance
I ain't mad, I just think it's fucked up you don't answer fans
If you didn't want to talk to me outside your concert
You didn't have to, but you could have signed an autograph for Matthew
That's my little brother, man, he's only six years old
We waited in the blistering cold for you for four hours and ya just said no
That's pretty shitty, man, you're like, his fuckin' idol
He wants to be just like you, man, he likes you more than I do
I ain't that mad, but I just don't like bein' lied to
Remember when we met in Denver, you said if I write you, you would write back?
See, I'm just like you in a way
I never knew my father neither
He used to always cheat on my mom and beat her
I can relate to what you're sayin' in your songs
So when I have a shitty day, I drift away and put 'em on
'Cause I don't really got shit else, so that shit helps when I'm depressed
I even got a tattoo with your name across the chest
Sometimes, I even cut myself to see how much it bleeds
It's like adrenaline, the pain is such a sudden rush for me
See, everything you say is real, and I respect you
'Cause you tell it
My girlfriend's jealous, 'cause I talk about you 24/7
But she don't know you like I know you, Slim, no one does
She don't know what it was like for people like us growing up
You've gotta call me, man, I'll be the biggest fan you'll ever lose
Sincerely yours, Stan
P.S.: We should be together too
My tea's gone cold, I'm wondering why I got out of bed at all
The morning rain clouds up my window, and I can't see at all
And even if I could, it'd all be gray, but your picture on my wall
It reminds me that it's not so bad, it's not so bad
Dear Mr. I'm-Too-Good-To-Call-Or-Write-My-Fans
This'll be the last package I ever send your ass
It's been six months and still no word, I don't deserve it?
I know you got my last two letters, I wrote the addresses on 'em perfect
So this is my cassette I'm sending you, I hope you hear it
I'm in the car right now, I'm doing ninety on the freeway
Hey, Slim, I drank a fifth of vodka, ya dare me to drive?
You know that song by Phil Collins from The Air In The Night
About that guy who could have saved that other guy from drowning
But didn't? Then Phil saw it all, then at his show, he found him?
That's kinda how this is, you could have rescued me from drowning
Now it's too late, I'm on a thousand downers now, I'm drowsy
And all I wanted was a lousy letter or a call
I hope you know I ripped all of your pictures off the wall
I love you, Slim, we could have been together, think about it
You ruined it now, I hope you can't sleep and you dream about it
And when you dream, I hope you can't sleep and you scream about it
I hope your conscience eats at you and you can't breathe without me
See Slim, shut up, bitch, I'm trying to talk
Hey, Slim, that's my girlfriend screaming in the trunk
But I didn't slit her throat
I just tied her up, see, I ain't like you
'Cause if she suffocates, she'll suffer more and then she'll die too
Well, gotta go, I'm almost at the bridge now
Oh, shit, I forgot, how am I supposed to send this shit out?
My tea's gone cold, I'm wondering why I got out of bed at all
The morning rain clouds up my window, and I can't see at all
And even if I could, it'd all be gray, but your picture on my wall
It reminds me that it's not so bad, it's not so bad
Dear Stan, I meant to write you sooner, but I've just been busy
You said your girlfriend's pregnant now, how far along is she?
Look, I'm really flattered you would call your daughter that
And here's an autograph for your brother: I wrote it on your Starter cap
I'm sorry I didn't see you at the show, I must have missed you
Don't think I did that shit intentionally, just to diss you
And what's this shit you said about you like to cut your wrists, too?
I say that shit just clownin', dawg c'mon, how fucked up is you?
You got some issues, Stan, I think you need some counselin'
To help your ass from bouncin' off the walls when you get down some
And what's this shit about us meant to be together?
That type of shit'll make me not want us to meet each other
I really think you and your girlfriend need each other
Or maybe you just need to treat her better
I hope you get to read this letter
I just hope it reaches you in time
Before you hurt yourself, I think that you'll be doin' just fine
If you'd relax a little, I'm glad that I inspire you, but, Stan
Why are you so mad? Try to understand that I do want you as a fan
I just don't want you to do some crazy shit
I seen this one shit on the news a couple weeks ago that made me sick
Some dude was drunk and drove his car over a bridge
And had his girlfriend in the trunk and she was pregnant with his kid
And in the car they found a tape, but it didn't say who it was to
Come to think about it, his name was, it was you
Damn!",Rap

Elton John,Your Song,"It's a little bit funny this feeling inside
I'm not one of those who can easily hide
I don't have much money, but, boy, if I did
I'd buy a big house where we both could live
If I was a sculptor, but then again, no
Or a man who makes potions in a travelling show
I know it's not much, but it's the best I can do
My gift is my song and this one's for you
And you can tell everybody this is your song
It may be quite simple, but now that it's done
I hope you don't mind
I hope you don't mind that I put down in words
How wonderful life is while you're in the world
I sat on the roof and kicked off the moss
Well, a few of the verses, well, they've got me quite cross
But the sun's been quite kind while I wrote this song
It's for people like you that keep it turned on
So excuse me forgetting, but these things I do
You see, I've forgotten if they're green or they're blue
Anyway the thing is what I really mean
Yours are the sweetest eyes I've ever seen
And you can tell everybody this is your song
It may be quite simple, but now that it's done
I hope you don't mind
I hope you don't mind that I put down in words
How wonderful life is while you're in the world
I hope you don't mind
I hope you don't mind that I put down in words
How wonderful life is while you're in the world",Pop
